127.0.0.1 - - [09/Apr/2021:09:23:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/ HTTP/1.1" 200 5577
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /script/jquery-3.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /css/main_css.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/resources/img/LOGO2.png;jsessionid=24F601DF9C60B76FFE403CD57A9C05DE HTTP/1.1" 200 21973
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/resources/img/title.png;jsessionid=24F601DF9C60B76FFE403CD57A9C05DE HTTP/1.1" 200 50634
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/resources/img/main/main.jpg;jsessionid=24F601DF9C60B76FFE403CD57A9C05DE HTTP/1.1" 200 4365808
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/resources/img/main/main1.jpg;jsessionid=24F601DF9C60B76FFE403CD57A9C05DE HTTP/1.1" 200 2920295
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /script/jquery-3.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /b/resources/img/main/main2.jpg;jsessionid=24F601DF9C60B76FFE403CD57A9C05DE HTTP/1.1" 200 3729138
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /css/main_css.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /script/jquery-3.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:56 +0900] "GET /b/login HTTP/1.1" 200 5557
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:56 +0900] "GET /css/main_css.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:56 +0900] "GET /script/jquery-3.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:56 +0900] "GET /css/main_css.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:56 +0900] "GET /script/jquery-3.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:59 +0900] "POST /b/logindo HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:59 +0900] "GET /b/main HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [09/Apr/2021:09:23:59 +0900] "GET /css/main_css.css HTTP/1.1" 404 827
